example_id,pal_seed_ran,pal_budget_cost_observed,pal_code_present,pal_json_answer_present,pal_confidence_present,pal_parse_ok,pal_safety_ok,pal_exec_ok,pal_stdout_present,pal_answer_raw,pal_answer_normalized,pal_error_type,pal_error_message_sanitized,pal_candidate_strong,pal_overlay_triggered,pal_integration_fix_triggered,pal_exact
openai_gsm8k_370,1,1,0,1,1,1,1,1,1,225,225,,,1,1,0,1
openai_gsm8k_371,1,1,0,1,1,1,1,1,1,240,240,,,1,1,0,1
openai_gsm8k_372,1,1,0,1,1,1,1,1,1,216,216,,,1,1,0,1
openai_gsm8k_373,1,1,0,1,1,1,1,1,1,13,13,,,1,1,0,1
openai_gsm8k_374,1,1,0,1,1,1,0,0,0,,,SafetyError,call_disallowed:sum,0,0,0,0
openai_gsm8k_375,1,1,0,1,1,1,1,1,1,280,280,,,1,1,0,1
openai_gsm8k_376,1,1,0,0,1,0,0,0,0,,,ValueError,empty_code,0,0,0,0
openai_gsm8k_377,1,1,0,1,1,1,1,1,1,15,15,,,1,1,0,1
openai_gsm8k_378,1,1,0,1,1,1,1,1,1,100,100,,,1,1,0,1
openai_gsm8k_379,1,1,0,1,1,1,1,1,1,200,200,,,1,1,0,1
openai_gsm8k_380,1,1,0,1,1,1,1,1,1,18000,18000,,,1,1,0,1
openai_gsm8k_381,1,1,0,1,1,1,1,1,1,16,16,,,1,1,0,1
openai_gsm8k_382,1,1,0,1,1,1,1,1,1,110,110,,,1,1,0,1
openai_gsm8k_383,1,1,0,1,1,1,1,1,1,17,17,,,1,1,0,1
openai_gsm8k_384,1,1,0,1,1,1,1,1,1,18,18,,,1,1,0,1
openai_gsm8k_385,1,1,0,1,1,1,1,1,1,105,105,,,1,1,0,1
openai_gsm8k_386,1,1,0,1,1,1,1,1,1,14000,14000,,,1,1,0,1
openai_gsm8k_387,1,1,0,1,1,1,1,1,1,70,70,,,1,1,0,1
openai_gsm8k_388,1,1,0,1,1,1,1,1,1,30,30,,,1,1,0,1
openai_gsm8k_389,1,1,0,1,1,1,1,1,1,539,539,,,1,1,0,1
openai_gsm8k_390,1,1,0,1,1,1,1,1,1,32,32,,,1,1,0,1
openai_gsm8k_391,1,1,0,1,1,1,1,1,1,105,105,,,1,1,0,0
openai_gsm8k_392,1,1,0,1,1,1,1,1,1,1200,1200,,,1,1,0,1
openai_gsm8k_393,1,1,0,1,1,1,1,1,1,98,98,,,1,1,0,1
openai_gsm8k_394,1,1,0,1,1,1,1,1,1,84,84,,,1,1,0,1
openai_gsm8k_395,1,1,0,0,1,0,0,0,0,,,ValueError,empty_code,0,0,0,0
openai_gsm8k_396,1,1,0,1,1,1,1,1,1,100,100,,,1,1,0,1
openai_gsm8k_397,1,1,0,1,1,1,1,1,1,75,75,,,1,1,0,1
openai_gsm8k_398,1,1,0,1,1,1,1,1,1,12,12,,,1,1,0,1
openai_gsm8k_399,1,1,0,1,1,1,1,1,1,260,260,,,1,1,0,1
openai_gsm8k_4,1,1,0,1,1,1,1,1,1,50,50,,,1,1,0,1
openai_gsm8k_40,1,1,0,1,1,1,1,1,1,10,10,,,1,1,0,1
openai_gsm8k_400,1,1,0,1,1,1,1,1,1,350,350,,,1,1,0,1
openai_gsm8k_401,1,1,0,1,1,1,1,1,1,25,25,,,1,1,0,1
openai_gsm8k_402,1,1,0,1,1,1,1,1,1,6,6,,,1,1,0,1
openai_gsm8k_403,1,1,0,1,1,1,1,1,1,1000,1000,,,1,1,0,1
openai_gsm8k_404,1,1,0,1,1,1,1,1,1,576,576,,,1,1,0,1
openai_gsm8k_405,1,1,0,1,1,1,1,1,1,7,7,,,1,1,0,1
openai_gsm8k_406,1,1,0,1,1,1,1,1,1,73,73,,,1,1,0,1
openai_gsm8k_407,1,1,0,1,1,1,1,1,1,14,14,,,1,1,0,1
openai_gsm8k_408,1,1,0,1,1,1,1,1,1,30,30,,,1,1,0,1
openai_gsm8k_409,1,1,0,1,1,1,1,1,1,8,8,,,1,1,0,1
openai_gsm8k_410,1,1,0,1,1,1,1,1,1,3,3,,,1,1,0,1
openai_gsm8k_411,1,1,0,1,1,1,1,1,1,0.8,0.8,,,1,1,0,0
openai_gsm8k_412,1,1,0,1,1,1,1,1,1,45,45,,,1,1,0,1
openai_gsm8k_413,1,1,0,1,1,1,1,1,1,15,15,,,1,1,0,1
openai_gsm8k_414,1,1,0,1,1,1,1,1,1,800,800,,,1,1,0,1
openai_gsm8k_415,1,1,0,1,1,1,1,1,1,8,8,,,1,1,0,1
openai_gsm8k_416,1,1,0,1,1,1,1,1,1,260,260,,,1,1,0,1
openai_gsm8k_417,1,1,0,1,1,1,1,1,1,2,2,,,1,1,0,1
openai_gsm8k_418,1,1,0,1,1,1,1,1,1,57,57,,,1,1,0,1
openai_gsm8k_419,1,1,0,1,1,1,1,1,1,28,28,,,1,1,0,1
openai_gsm8k_420,1,1,0,1,1,1,1,1,1,16,16,,,1,1,0,1
openai_gsm8k_421,1,1,0,1,1,1,1,1,1,448,448,,,1,1,0,1
openai_gsm8k_422,1,1,0,1,1,1,1,1,1,398,398,,,1,1,0,1
openai_gsm8k_423,1,1,0,1,1,1,1,1,1,2,2,,,1,1,0,1
openai_gsm8k_424,1,1,0,1,1,1,1,1,1,5,5,,,1,1,0,1
openai_gsm8k_425,1,1,0,1,1,1,1,1,1,20,20,,,1,1,0,1
openai_gsm8k_426,1,1,0,1,1,1,1,1,1,360,360,,,1,1,0,1
openai_gsm8k_427,1,1,0,1,1,1,1,1,1,85,85,,,1,1,0,1
openai_gsm8k_428,1,1,0,1,1,1,1,1,1,25,25,,,1,1,0,1
openai_gsm8k_429,1,1,0,1,1,1,1,1,1,460,460,,,1,1,0,1
openai_gsm8k_430,1,1,0,1,1,1,1,1,1,55,55,,,1,1,0,1
openai_gsm8k_431,1,1,0,1,1,1,1,1,1,38,38,,,1,1,0,1
openai_gsm8k_432,1,1,0,1,1,1,1,1,1,24,24,,,1,1,0,1
openai_gsm8k_433,1,1,0,1,1,1,0,0,0,,,SafetyError,call_disallowed:sum,0,0,0,0
openai_gsm8k_434,1,1,0,1,1,1,1,1,1,123,123,,,1,1,0,1
openai_gsm8k_435,1,1,0,1,1,1,1,1,1,10,10,,,1,1,0,1
openai_gsm8k_436,1,1,0,1,1,1,1,1,1,100,100,,,1,1,0,1
openai_gsm8k_437,1,1,0,1,1,1,1,1,1,36,36,,,1,1,0,0
openai_gsm8k_438,1,1,0,1,1,1,1,1,1,4,4,,,1,1,0,1
openai_gsm8k_439,1,1,0,1,1,1,1,1,1,374,374,,,1,1,0,1
openai_gsm8k_440,1,1,0,1,1,1,1,1,1,12,12,,,1,1,0,1
openai_gsm8k_5,1,1,0,1,1,1,1,1,1,38,38,,,1,1,0,1
openai_gsm8k_50,1,1,0,1,1,1,1,1,1,576,576,,,1,1,0,1
openai_gsm8k_556,1,1,0,1,1,1,1,1,1,20,20,,,1,1,0,1
openai_gsm8k_557,1,1,0,1,1,1,1,1,1,27,27,,,1,1,0,1
openai_gsm8k_558,1,1,0,1,1,1,1,1,1,45,45,,,1,1,0,1
openai_gsm8k_559,1,1,0,1,1,1,1,1,1,130,130,,,1,1,0,1
openai_gsm8k_560,1,1,0,1,1,1,1,1,1,44,44,,,1,1,0,1
openai_gsm8k_561,1,1,0,1,1,1,1,1,1,250,250,,,1,1,0,1
openai_gsm8k_562,1,1,0,1,1,1,1,1,1,9,9,,,1,1,0,1
openai_gsm8k_563,1,1,0,1,1,1,1,1,1,90,90,,,1,1,0,1
openai_gsm8k_6,1,1,0,1,1,1,1,1,1,310,310,,,1,0,0,0
openai_gsm8k_61,1,1,0,1,1,1,1,1,1,10,10,,,1,1,0,0
openai_gsm8k_66,1,1,0,1,1,1,1,1,1,4,4,,,1,1,0,1
openai_gsm8k_67,1,1,0,1,1,1,1,1,1,3140,3140,,,1,1,0,1
openai_gsm8k_7,1,1,0,1,1,1,1,1,1,6,6,,,1,1,0,1
openai_gsm8k_75,1,1,0,1,1,1,1,1,1,68,68,,,1,1,0,1
openai_gsm8k_76,1,1,0,1,1,1,1,1,1,2400,2400,,,1,1,0,1
openai_gsm8k_78,1,1,0,1,1,1,1,1,1,8,8,,,1,1,0,1
openai_gsm8k_8,1,1,0,1,1,1,1,1,1,22,22,,,1,1,0,1
openai_gsm8k_87,1,1,0,1,1,1,1,1,1,4,4,,,1,1,0,1
openai_gsm8k_9,1,1,0,1,1,1,1,1,1,3,3,,,1,1,0,1
openai_gsm8k_90,1,1,0,1,1,1,1,1,1,40,40,,,1,1,0,1
openai_gsm8k_91,1,1,0,1,1,1,1,1,1,17,17,,,1,1,0,1
