normalized_name,count,artifact_class,paths,recommendation
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_11_8_openai_gsm8k.md,3,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_11_8_openai_gsm8k.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_8_openai_gsm8k.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260425T_WULVER_COHERE_LONG_cohere_11_8_openai_gsm8k.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_23_4_HuggingFaceH4_MATH-500.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_23_4_HuggingFaceH4_MATH-500.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_23_4_HuggingFaceH4_MATH-500.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_23_4_HuggingFaceH4_aime_2024.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_23_4_HuggingFaceH4_aime_2024.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_23_4_HuggingFaceH4_aime_2024.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_23_4_openai_gsm8k.md,3,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_23_4_openai_gsm8k.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_23_4_openai_gsm8k.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260425T_WULVER_COHERE_LONG_cohere_23_4_openai_gsm8k.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_23_6_HuggingFaceH4_MATH-500.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_23_6_HuggingFaceH4_MATH-500.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_23_6_HuggingFaceH4_MATH-500.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_23_6_HuggingFaceH4_aime_2024.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_23_6_HuggingFaceH4_aime_2024.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_23_6_HuggingFaceH4_aime_2024.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_23_6_openai_gsm8k.md,3,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_23_6_openai_gsm8k.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_23_6_openai_gsm8k.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260425T_WULVER_COHERE_LONG_cohere_23_6_openai_gsm8k.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_23_8_HuggingFaceH4_MATH-500.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_23_8_HuggingFaceH4_MATH-500.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_23_8_HuggingFaceH4_MATH-500.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_23_8_HuggingFaceH4_aime_2024.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_23_8_HuggingFaceH4_aime_2024.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_23_8_HuggingFaceH4_aime_2024.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_23_8_openai_gsm8k.md,3,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_23_8_openai_gsm8k.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_23_8_openai_gsm8k.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260425T_WULVER_COHERE_LONG_cohere_23_8_openai_gsm8k.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>openai_23_8_openai_gsm8k.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_OPENAI_REAL_MAIN_PATCH_20260424T163922Z_openai_23_8_openai_gsm8k.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_OPENAI_REAL_MAIN_openai_23_8_openai_gsm8k.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/COHERE_REAL_MODEL_COST_NORMALIZED_VALIDATION_<timestamp>.md,3,provenance_only,docs/COHERE_REAL_MODEL_COST_NORMALIZED_VALIDATION_20260425T011500Z_COHERE_MAIN.md;docs/COHERE_REAL_MODEL_COST_NORMALIZED_VALIDATION_20260425T133000Z_COHERE_STAGE1_MIN.md;docs/COHERE_REAL_MODEL_COST_NORMALIZED_VALIDATION_20260425T_RICH_MULTI_MAIN.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CURRENT_REFERENCES_SUPPLEMENT_<timestamp>.md,2,provenance_only,docs/CURRENT_REFERENCES_SUPPLEMENT_2026_04_15.md;docs/CURRENT_REFERENCES_SUPPLEMENT_2026_04_16.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/DIRECTION_COMBINATORICS_GUARD_EVAL_<timestamp>.md,2,provenance_only,docs/DIRECTION_COMBINATORICS_GUARD_EVAL_20260425T_DIRECTION_COMBINATORICS_GUARD_SMOKE.md;docs/DIRECTION_COMBINATORICS_GUARD_EVAL_20260425T_DIRECTION_COMBINATORICS_GUARD_TEST_DRY.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/EXTERNAL_ADJACENT_BASELINE_BUNDLE_<timestamp>.md,2,provenance_only,docs/EXTERNAL_ADJACENT_BASELINE_BUNDLE_20260422T011400Z.md;docs/EXTERNAL_ADJACENT_BASELINE_BUNDLE_20260422T201000Z.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/FAMILY_NORMALIZED_RERANK_EVAL_<timestamp>.md,3,provenance_only,docs/FAMILY_NORMALIZED_RERANK_EVAL_20260425T_FAMILY_NORMALIZED_RERANK_FULL_DRYRUN.md;docs/FAMILY_NORMALIZED_RERANK_EVAL_20260425T_FAMILY_NORMALIZED_RERANK_SMOKE.md;docs/FAMILY_NORMALIZED_RERANK_EVAL_20260425T_FAMILY_NORMALIZED_RERANK_TEST_DRY.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/HELD_OUT_SURFACE_GENERALIZATION_CLAIM_SAFETY_<timestamp>.md,3,provenance_only,docs/HELD_OUT_SURFACE_GENERALIZATION_CLAIM_SAFETY_20260424T231500Z_DRY.md;docs/HELD_OUT_SURFACE_GENERALIZATION_CLAIM_SAFETY_20990101T000000Z.md;docs/HELD_OUT_SURFACE_GENERALIZATION_CLAIM_SAFETY_20990101T000001Z.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/HUNDRED_CASE_HARD_EARLY_COVERAGE_DEPTH3_EVAL_<timestamp>.md,2,provenance_only,docs/HUNDRED_CASE_HARD_EARLY_COVERAGE_DEPTH3_EVAL_20260421T010733Z.md;docs/HUNDRED_CASE_HARD_EARLY_COVERAGE_DEPTH3_EVAL_20260421T020917Z.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/MATCHED_SURFACE_MULTI_SEED_MAIN_COMPARISON_<timestamp>.md,3,provenance_only,docs/MATCHED_SURFACE_MULTI_SEED_MAIN_COMPARISON_20260423T002000Z.md;docs/MATCHED_SURFACE_MULTI_SEED_MAIN_COMPARISON_20260423T203259Z.md;docs/MATCHED_SURFACE_MULTI_SEED_MAIN_COMPARISON_20260423T235900Z.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/OPENAI_REAL_MODEL_MAIN_RUN_AUDIT_<timestamp>.md,3,provenance_only,docs/OPENAI_REAL_MODEL_MAIN_RUN_AUDIT_20260424T160421Z.md;docs/OPENAI_REAL_MODEL_MAIN_RUN_AUDIT_20260424T160438Z.md;docs/OPENAI_REAL_MODEL_MAIN_RUN_AUDIT_20260424T160513Z.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/REAL_MODEL_OURS_VS_EXTERNAL_VALIDATION_<timestamp>.md,6,provenance_only,docs/REAL_MODEL_OURS_VS_EXTERNAL_VALIDATION_20260424T002900Z.md;docs/REAL_MODEL_OURS_VS_EXTERNAL_VALIDATION_20260424T_COHERE_REAL_MAIN.md;docs/REAL_MODEL_OURS_VS_EXTERNAL_VALIDATION_20260424T_OPENAI_REAL_MAIN.md;docs/REAL_MODEL_OURS_VS_EXTERNAL_VALIDATION_20260424T_OPENAI_REAL_MAIN_DRYCHECK.md;docs/REAL_MODEL_OURS_VS_EXTERNAL_VALIDATION_20260424T_OPENAI_REAL_SMOKE.md;docs/REAL_MODEL_OURS_VS_EXTERNAL_VALIDATION_20260425T_WULVER_COHERE_LONG.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/REAL_MODEL_TOKEN_ACCOUNTING_VALIDATION_<timestamp>.md,2,provenance_only,docs/REAL_MODEL_TOKEN_ACCOUNTING_VALIDATION_20260424T120000Z_REAL_SMOKE.md;docs/REAL_MODEL_TOKEN_ACCOUNTING_VALIDATION_20260424T170000Z_SMALL_APPENDIX.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/ROBUSTNESS_BUDGET_STABILITY_AND_FAILURE_MECHANISMS_<timestamp>.md,2,provenance_only,docs/ROBUSTNESS_BUDGET_STABILITY_AND_FAILURE_MECHANISMS_20260422T042734Z.md;docs/ROBUSTNESS_BUDGET_STABILITY_AND_FAILURE_MECHANISMS_20260422T045249Z.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/SHALLOW_EXHAUSTIVE_PROBE_REPORT_<timestamp>.md,2,provenance_only,docs/SHALLOW_EXHAUSTIVE_PROBE_REPORT_20260425T_SHALLOW_PROBE_FULL_DRYRUN.md;docs/SHALLOW_EXHAUSTIVE_PROBE_REPORT_20260425T_SHALLOW_PROBE_SMOKE.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/STRICT_F3_LOSSES_TO_EXTERNAL_L1_MAX_FEATURE_DATASET_<timestamp>.md,2,provenance_only,docs/STRICT_F3_LOSSES_TO_EXTERNAL_L1_MAX_FEATURE_DATASET_20260425T120000Z.md;docs/STRICT_F3_LOSSES_TO_EXTERNAL_L1_MAX_FEATURE_DATASET_20260425T193000Z.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/STRICT_F3_VS_EXTERNAL_L1_MAX_MORE_LOSS_CASES_<timestamp>.md,2,provenance_only,docs/STRICT_F3_VS_EXTERNAL_L1_MAX_MORE_LOSS_CASES_20260425T150500Z.md;docs/STRICT_F3_VS_EXTERNAL_L1_MAX_MORE_LOSS_CASES_20260425T_WULVER_COHERE_LONG.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/TYPED_STRATEGY_SEEDED_EVAL_<timestamp>.md,3,provenance_only,docs/TYPED_STRATEGY_SEEDED_EVAL_20260425T_TYPED_STRATEGY_SEEDED_SMOKE.md;docs/TYPED_STRATEGY_SEEDED_EVAL_20260425T_TYPED_STRATEGY_SEEDED_TEST_DRY.md;docs/TYPED_STRATEGY_SEEDED_EVAL_20260425T_TYPED_STRATEGY_SELECTION_DIAG_SMOKE.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/baseline_repair_and_status_audit_<timestamp>/baseline_status_matrix.csv,4,provenance_only,outputs/baseline_repair_and_status_audit_20260420T225833Z/baseline_status_matrix.csv;outputs/baseline_repair_and_status_audit_20260421T190941Z/baseline_status_matrix.csv;outputs/baseline_repair_and_status_audit_20260422T013940Z/baseline_status_matrix.csv;outputs/baseline_repair_and_status_audit_20260422T022208Z/baseline_status_matrix.csv,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/baseline_repair_and_status_audit_<timestamp>/baseline_status_matrix.json,4,provenance_only,outputs/baseline_repair_and_status_audit_20260420T225833Z/baseline_status_matrix.json;outputs/baseline_repair_and_status_audit_20260421T190941Z/baseline_status_matrix.json;outputs/baseline_repair_and_status_audit_20260422T013940Z/baseline_status_matrix.json;outputs/baseline_repair_and_status_audit_20260422T022208Z/baseline_status_matrix.json,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/best_route_adjacent_integration/<timestamp>/comparison_ready_rows.csv,2,provenance_only,outputs/best_route_adjacent_integration/20260421T161437Z/comparison_ready_rows.csv;outputs/best_route_adjacent_integration/20260422T004457Z/comparison_ready_rows.csv,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/best_route_adjacent_integration/<timestamp>/manifest.json,2,provenance_only,outputs/best_route_adjacent_integration/20260421T161437Z/manifest.json;outputs/best_route_adjacent_integration/20260422T004457Z/manifest.json,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/best_route_adjacent_integration/<timestamp>/status.json,2,provenance_only,outputs/best_route_adjacent_integration/20260421T161437Z/status.json;outputs/best_route_adjacent_integration/20260422T004457Z/status.json,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/best_route_adjacent_integration/<timestamp>/validation_results.json,2,provenance_only,outputs/best_route_adjacent_integration/20260421T161437Z/validation_results.json;outputs/best_route_adjacent_integration/20260422T004457Z/validation_results.json,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/best_route_adjacent_integration/<timestamp>/validation_status.csv,2,provenance_only,outputs/best_route_adjacent_integration/20260421T161437Z/validation_status.csv;outputs/best_route_adjacent_integration/20260422T004457Z/validation_status.csv,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/README.md,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/README.md;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/README.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/action_trace.jsonl,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/action_trace.jsonl;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/action_trace.jsonl,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/answer_group_summary.csv,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/answer_group_summary.csv;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/answer_group_summary.csv,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/candidate_branch_table.csv,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/candidate_branch_table.csv;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/candidate_branch_table.csv,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/coverage_summary.csv,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/coverage_summary.csv;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/coverage_summary.csv,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/difference_cases.jsonl,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/difference_cases.jsonl;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/difference_cases.jsonl,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/difference_cases_for_manual_inspection.md,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/difference_cases_for_manual_inspection.md;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/difference_cases_for_manual_inspection.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/final_branch_states.jsonl,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/final_branch_states.jsonl;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/final_branch_states.jsonl,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/loss_cases.csv,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/loss_cases.csv;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/loss_cases.csv,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/loss_cases.jsonl,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/loss_cases.jsonl;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/loss_cases.jsonl,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/loss_cases_for_manual_inspection.md,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/loss_cases_for_manual_inspection.md;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/loss_cases_for_manual_inspection.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/manifest.json,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/manifest.json;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/manifest.json,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/missing_fields_report.csv,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/missing_fields_report.csv;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/missing_fields_report.csv,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/per_case_method_results.csv,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/per_case_method_results.csv;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/per_case_method_results.csv,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/per_method_summary.csv,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/per_method_summary.csv;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/per_method_summary.csv,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/per_stratum_summary.csv,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/per_stratum_summary.csv;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/per_stratum_summary.csv,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/planned_cases.csv,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/planned_cases.csv;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/planned_cases.csv,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_<timestamp>/tree_decision_traces.jsonl,2,provenance_only,outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_NEXT/tree_decision_traces.jsonl;outputs/cohere_direct_reserve_validation_TARGETED_REPLAY_20260426T_RERUN/tree_decision_traces.jsonl,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_direct_reserve_scorer_data_collection_<timestamp>/README.md,3,provenance_only,outputs/cohere_direct_reserve_validation_direct_reserve_scorer_data_collection_20260426T150000Z/README.md;outputs/cohere_direct_reserve_validation_direct_reserve_scorer_data_collection_20260426T151700Z/README.md;outputs/cohere_direct_reserve_validation_direct_reserve_scorer_data_collection_20260426T_FRESH_GSM8K_SCORER_VALIDATION/README.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
outputs/cohere_direct_reserve_validation_direct_reserve_scorer_data_collection_<timestamp>/action_trace.jsonl,3,provenance_only,outputs/cohere_direct_reserve_validation_direct_reserve_scorer_data_collection_20260426T150000Z/action_trace.jsonl;outputs/cohere_direct_reserve_validation_direct_reserve_scorer_data_collection_20260426T151700Z/action_trace.jsonl;outputs/cohere_direct_reserve_validation_direct_reserve_scorer_data_collection_20260426T_FRESH_GSM8K_SCORER_VALIDATION/action_trace.jsonl,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
