example_id,original_bucket_membership,current_exact,recovery_status,current_output_source,casebook_pal_exact,casebook_external_exact,coverage_gold_absent_everywhere_detectable
openai_gsm8k_878,both_wrong|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,1
openai_gsm8k_897,both_wrong|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,1
openai_gsm8k_898,both_wrong|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,1
openai_gsm8k_905,external_only,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,0
openai_gsm8k_906,external_only|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,1
openai_gsm8k_917,both_wrong|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,1
openai_gsm8k_929,both_wrong|gold_absent_everywhere_detectable|rate_ratio_anchors,1,corrected_now,offline_selector_isolated_exploration_log_anchor_validation_20260507/per_case.csv,0,0,1
openai_gsm8k_931,external_only,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,0
openai_gsm8k_934,both_wrong|gold_absent_everywhere_detectable|rate_ratio_anchors,1,corrected_now,offline_selector_isolated_exploration_log_anchor_validation_20260507/per_case.csv,0,0,1
openai_gsm8k_944,both_wrong|gold_absent_everywhere_detectable|rate_ratio_anchors,1,corrected_now,offline_selector_isolated_exploration_log_anchor_validation_20260507/per_case.csv,0,0,1
openai_gsm8k_951,both_wrong,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,0
openai_gsm8k_953,both_wrong|gold_absent_everywhere_detectable|previously_correct_regressed_validation_anchors|rate_ratio_anchors,0,still_failing,offline_selector_isolated_exploration_log_anchor_validation_20260507/per_case.csv,0,0,1
openai_gsm8k_970,external_only,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,0
openai_gsm8k_974,both_wrong|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,1
openai_gsm8k_976,both_wrong|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,1
openai_gsm8k_979,both_wrong|gold_absent_everywhere_detectable|previously_correct_regressed_validation_anchors|rate_ratio_anchors,0,still_failing,offline_selector_isolated_exploration_log_anchor_validation_20260507/per_case.csv,0,0,1
openai_gsm8k_984,external_only,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,0
openai_gsm8k_995,external_only|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,1
