case_id,method_id,artifact_source,tracked_status,branch_or_location,local_only,problem_text_available,gold_available,selected_answer_available,selected_source_available,failure_label_available,trace_or_candidate_metadata_available,PAL_metadata_available,evidence_completeness,failure_family,notes
openai_gsm8k_1180,production_equiv_v1_multibatch,outputs/pal_vs_production_multibatch_casebook_live_20260508T234831Z/cumulative_pal_vs_prod_casebook.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,final_target_mismatch,
openai_gsm8k_1218,production_equiv_v1_multibatch,outputs/pal_vs_production_multibatch_casebook_live_20260508T234831Z/cumulative_pal_vs_prod_casebook.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,final_target_mismatch,
openai_gsm8k_1285,production_equiv_v1_multibatch,outputs/pal_vs_production_multibatch_casebook_live_20260508T234831Z/cumulative_pal_vs_prod_casebook.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,parse_format,
openai_gsm8k_1114,production_equiv_v1_casebook,outputs/pal_vs_production_equiv_casebook_live_20260508T223635Z/pal_vs_prod_casebook.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,arithmetic_execution,
openai_gsm8k_1142,production_equiv_v1_casebook,outputs/pal_vs_production_equiv_casebook_live_20260508T223635Z/pal_vs_prod_casebook.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,multi_step_computation,
openai_gsm8k_1121,production_equiv_v1_loss_bank,outputs/production_equiv_v1_retry_commit_loss_audit_20260508T204005Z/production_equiv_loss_bank_detailed.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,no,FULL,retry_commit_miss,
openai_gsm8k_1155,production_equiv_v1_loss_bank,outputs/production_equiv_v1_retry_commit_loss_audit_20260508T204005Z/production_equiv_loss_bank_detailed.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,no,FULL,structural_commit_wrong,
openai_gsm8k_1077,production_equiv_v1_loss_bank,outputs/production_equiv_v1_retry_commit_loss_audit_20260508T204005Z/production_equiv_loss_bank_detailed.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,no,FULL,structural_commit_wrong,
openai_gsm8k_1080,production_equiv_v1_loss_bank,outputs/production_equiv_v1_retry_commit_loss_audit_20260508T204005Z/production_equiv_loss_bank_detailed.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,no,FULL,structural_commit_wrong,
openai_gsm8k_1081,production_equiv_v1_loss_bank,outputs/production_equiv_v1_retry_commit_loss_audit_20260508T204005Z/production_equiv_loss_bank_detailed.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,no,FULL,structural_commit_wrong,
openai_gsm8k_1112,production_equiv_v1_loss_bank,outputs/production_equiv_v1_retry_commit_loss_audit_20260508T204005Z/production_equiv_loss_bank_detailed.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,no,FULL,retry_commit_miss,
openai_gsm8k_1115,production_equiv_v1_loss_bank,outputs/production_equiv_v1_retry_commit_loss_audit_20260508T204005Z/production_equiv_loss_bank_detailed.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,no,FULL,retry_commit_miss,
openai_gsm8k_1131,production_equiv_v1_loss_bank,outputs/production_equiv_v1_retry_commit_loss_audit_20260508T204005Z/production_equiv_loss_bank_detailed.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,no,FULL,structural_commit_wrong,
openai_gsm8k_1132,production_equiv_v1_loss_bank,outputs/production_equiv_v1_retry_commit_loss_audit_20260508T204005Z/production_equiv_loss_bank_detailed.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,no,FULL,structural_commit_wrong,
openai_gsm8k_1137,production_equiv_v1_loss_bank,outputs/production_equiv_v1_retry_commit_loss_audit_20260508T204005Z/production_equiv_loss_bank_detailed.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,no,FULL,retry_commit_miss,
openai_gsm8k_1144,production_equiv_v1_loss_bank,outputs/production_equiv_v1_retry_commit_loss_audit_20260508T204005Z/production_equiv_loss_bank_detailed.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,no,FULL,structural_commit_wrong,
openai_gsm8k_1147,production_equiv_v1_loss_bank,outputs/production_equiv_v1_retry_commit_loss_audit_20260508T204005Z/production_equiv_loss_bank_detailed.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,no,FULL,structural_commit_wrong,
openai_gsm8k_1158,production_equiv_v1_loss_bank,outputs/production_equiv_v1_retry_commit_loss_audit_20260508T204005Z/production_equiv_loss_bank_detailed.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,no,FULL,structural_commit_wrong,
openai_gsm8k_773,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,external_only,atlas_anchor|external_only_loss|gold_absent_everywhere_detectable|pal_wrong
openai_gsm8k_778,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,both_wrong,atlas_anchor|both_wrong|failed_gate_anchor|gold_absent_everywhere_detectable|pal_wrong|selector_sensitivity
openai_gsm8k_780,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,both_wrong,atlas_anchor|both_wrong|failed_gate_anchor|pal_wrong|selector_sensitivity
openai_gsm8k_781,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,both_wrong,atlas_anchor|both_wrong|gold_absent_everywhere_detectable|pal_wrong
openai_gsm8k_787,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,external_only,atlas_anchor|external_only_loss|pal_wrong
openai_gsm8k_794,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,both_wrong,atlas_anchor|both_wrong|gold_absent_everywhere_detectable|pal_wrong
openai_gsm8k_812,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,both_wrong,atlas_anchor|both_wrong|failed_gate_anchor|gold_absent_everywhere_detectable|pal_wrong|selector_sensitivity
openai_gsm8k_814,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,external_only,atlas_anchor|external_only_loss|failed_gate_anchor|gold_absent_everywhere_detectable|pal_wrong|selector_sensitivity
openai_gsm8k_818,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,external_only,atlas_anchor|external_only_loss|pal_wrong
openai_gsm8k_819,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,both_wrong,atlas_anchor|both_wrong|failed_gate_anchor|gold_absent_everywhere_detectable|pal_wrong|selector_sensitivity
openai_gsm8k_820,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,both_wrong,both_wrong|pal_wrong
openai_gsm8k_829,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,external_only,atlas_anchor|external_only_loss|gold_absent_everywhere_detectable|pal_wrong
openai_gsm8k_832,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,both_wrong,both_wrong|gold_absent_everywhere_detectable|pal_wrong
openai_gsm8k_841,legacy_corpus,outputs/failure_case_corpus_20260507/failure_cases.csv,tracked,research-next-wt,no,yes,yes,yes,yes,yes,yes,yes,FULL,external_only,atlas_anchor|external_only_loss|gold_absent_everywhere_detectable|pal_wrong
