example_id,dataset,provider,model,budget,seed,method,branch_id,parent_id,depth,family_id,parsed_answer,answer_group,is_resolved,is_selected,is_expanded,branch_score,V,A,C,R,I,text_hash,metadata
trace_smoke_2,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,div_1,,1,explicit_case_split_family,,__unknown__,False,False,True,0.708314679058958,,,,,,1067f0e6b692edfe,"{""source"": """", ""trace_event_count"": 1}"
trace_smoke_2,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,direct_reserve_0,,1,direct_reserve,10,10,True,True,True,1.0,,,,,,b161ac788832af5a,"{""source"": ""direct_reserve"", ""trace_event_count"": 3}"
trace_smoke_2,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,direct_reserve_1,,1,direct_reserve,12,12,True,False,True,1.0,,,,,,8faceebc6b2eaf90,"{""source"": ""direct_reserve"", ""trace_event_count"": 2}"
trace_smoke_3,offline/smoke,offline,simulated,6,223,external_l1_max,l1_max_0,,3,,7,7,True,True,True,1.0,,,,,,b161ac788832af5a,"{""source"": """", ""trace_event_count"": 3}"
trace_smoke_3,offline/smoke,offline,simulated,6,223,strict_f3_anti_collapse_default_v1,div_0,,1,direct_formula_family,6,6,True,False,True,0.2831431922549659,,,,,,1067f0e6b692edfe,"{""source"": """", ""trace_event_count"": 1}"
trace_smoke_3,offline/smoke,offline,simulated,6,223,strict_f3_anti_collapse_default_v1,div_1,,1,explicit_case_split_family,4,4,True,True,True,0.4652340191550277,,,,,,1067f0e6b692edfe,"{""source"": """", ""trace_event_count"": 1}"
trace_smoke_3,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,div_0,,0,direct_formula_family,,__unknown__,False,False,False,0.6236719814540937,,,,,,,"{""source"": """", ""trace_event_count"": 0}"
trace_smoke_3,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,div_1,,2,explicit_case_split_family,,__unknown__,False,False,True,0.7430873947739842,,,,,,8faceebc6b2eaf90,"{""source"": """", ""trace_event_count"": 2}"
trace_smoke_3,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,div_child_1_2,div_1,0,explicit_case_split_family,,__unknown__,False,False,False,0.6911901280041313,,,,,,,"{""source"": """", ""trace_event_count"": 0}"
trace_smoke_3,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,direct_reserve_0,,1,direct_reserve,7,7,True,True,True,1.0,,,,,,b161ac788832af5a,"{""source"": ""direct_reserve"", ""trace_event_count"": 3}"
trace_smoke_3,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,direct_reserve_1,,1,direct_reserve,5,5,True,False,True,1.0,,,,,,1067f0e6b692edfe,"{""source"": ""direct_reserve"", ""trace_event_count"": 1}"
