case_id,source_file,problem_text_present,problem_text_length,gold_present,selected_schema,safe_for_live_probe,exclusion_reason
openai_gsm8k_1113,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1114,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1115,all_our_failure_cases.csv,True,270,True,rate_table_schema,yes,
openai_gsm8k_1117,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1118,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1119,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1121,all_our_failure_cases.csv,True,356,True,before_after_state_schema,yes,
openai_gsm8k_1123,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1124,all_our_failure_cases.csv,True,121,True,quantity_ledger_schema,yes,
openai_gsm8k_1126,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1127,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1128,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1129,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1130,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1131,all_our_failure_cases.csv,True,414,True,ratio_equation_schema,yes,
openai_gsm8k_1132,all_our_failure_cases.csv,True,510,True,quantity_ledger_schema,yes,
openai_gsm8k_1133,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1134,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1135,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1136,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1137,all_our_failure_cases.csv,True,426,True,ratio_equation_schema,yes,
openai_gsm8k_1138,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1139,all_our_failure_cases.csv,True,324,True,before_after_state_schema,yes,
openai_gsm8k_1140,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1141,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1142,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1143,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1144,all_our_failure_cases.csv,True,529,True,average_total_count_schema,yes,
openai_gsm8k_1145,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1146,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1147,all_our_failure_cases.csv,True,218,True,before_after_state_schema,yes,
openai_gsm8k_1148,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1149,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1151,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1152,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1153,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1154,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1155,all_our_failure_cases.csv,True,323,True,quantity_ledger_schema,yes,
openai_gsm8k_1156,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1157,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1158,all_our_failure_cases.csv,True,219,True,target_difference_schema,yes,
openai_gsm8k_1159,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1160,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1161,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1162,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1163,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1164,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1165,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1167,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1168,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1169,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1170,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1171,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1172,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1173,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1174,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1176,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1177,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1178,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1179,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1180,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1181,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1182,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1183,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1184,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1185,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1186,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1188,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1189,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1190,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1191,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1192,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1193,all_our_failure_cases.csv,False,0,True,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1198,all_our_failure_cases.csv,True,622,True,quantity_ledger_schema,yes,
openai_gsm8k_1199,all_our_failure_cases.csv,True,216,True,rate_table_schema,yes,
openai_gsm8k_1204,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1210,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1214,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1215,all_our_failure_cases.csv,True,291,True,quantity_ledger_schema,yes,
openai_gsm8k_1217,all_our_failure_cases.csv,True,264,True,average_total_count_schema,yes,
openai_gsm8k_1219,all_our_failure_cases.csv,True,346,True,before_after_state_schema,yes,
openai_gsm8k_1223,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1230,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1232,all_our_failure_cases.csv,True,359,True,rate_table_schema,yes,
openai_gsm8k_1235,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1244,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1248,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1275,all_our_failure_cases.csv,True,264,True,ratio_equation_schema,yes,
openai_gsm8k_1278,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1279,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1281,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1290,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1291,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1297,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1299,all_our_failure_cases.csv,True,321,True,ratio_equation_schema,yes,
openai_gsm8k_1303,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1307,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1314,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
openai_gsm8k_1317,all_our_failure_cases.csv,False,0,False,quantity_ledger_schema,no,missing_problem_text
