policy,threshold,example_id,seed,budget,base_answer,learned_answer,final_answer,gold_answer,override,base_ok,final_ok,improvement,degradation,control_degradation
margin_plus_cross_method,0.10,openai_gsm8k_1,37,4,106.12,106.12,106.12,106,0,0,0,0,0,0
margin_plus_base_uncertain,0.10,openai_gsm8k_1,37,4,106.12,106.12,106.12,106,0,0,0,0,0,0
safe_union,0.10,openai_gsm8k_1,37,4,106.12,106.12,106.12,106,0,0,0,0,0,0
margin_only,0.20,openai_gsm8k_1,37,4,106.12,106.12,106.12,106,0,0,0,0,0,0
margin_plus_support,0.20,openai_gsm8k_1,37,4,106.12,106.12,106.12,106,0,0,0,0,0,0
margin_plus_cross_method,0.20,openai_gsm8k_1,37,4,106.12,106.12,106.12,106,0,0,0,0,0,0
margin_plus_base_uncertain,0.20,openai_gsm8k_1,37,4,106.12,106.12,106.12,106,0,0,0,0,0,0
safe_union,0.20,openai_gsm8k_1,37,4,106.12,106.12,106.12,106,0,0,0,0,0,0
margin_only,0.00,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_support,0.00,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_cross_method,0.00,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_base_uncertain,0.00,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
safe_union,0.00,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_only,0.02,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_support,0.02,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_cross_method,0.02,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_base_uncertain,0.02,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
safe_union,0.02,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_only,0.05,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_support,0.05,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_cross_method,0.05,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_base_uncertain,0.05,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
safe_union,0.05,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_only,0.10,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_support,0.10,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_cross_method,0.10,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_base_uncertain,0.10,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
safe_union,0.10,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_only,0.20,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_support,0.20,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_cross_method,0.20,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_plus_base_uncertain,0.20,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
safe_union,0.20,openai_gsm8k_10,37,4,39,39,39,39,0,1,1,0,0,0
margin_only,0.00,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_support,0.00,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_cross_method,0.00,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_base_uncertain,0.00,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
safe_union,0.00,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_only,0.02,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_support,0.02,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_cross_method,0.02,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_base_uncertain,0.02,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
safe_union,0.02,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_only,0.05,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_support,0.05,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_cross_method,0.05,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_base_uncertain,0.05,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
safe_union,0.05,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_only,0.10,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_support,0.10,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_cross_method,0.10,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_base_uncertain,0.10,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
safe_union,0.10,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_only,0.20,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_support,0.20,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_cross_method,0.20,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_plus_base_uncertain,0.20,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
safe_union,0.20,openai_gsm8k_11,37,4,100,100,100,100,0,1,1,0,0,0
margin_only,0.00,openai_gsm8k_12,37,4,100,70,70,70,1,0,1,1,0,0
margin_plus_support,0.00,openai_gsm8k_12,37,4,100,70,70,70,1,0,1,1,0,0
margin_plus_cross_method,0.00,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_plus_base_uncertain,0.00,openai_gsm8k_12,37,4,100,70,70,70,1,0,1,1,0,0
safe_union,0.00,openai_gsm8k_12,37,4,100,70,70,70,1,0,1,1,0,0
margin_only,0.02,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_plus_support,0.02,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_plus_cross_method,0.02,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_plus_base_uncertain,0.02,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
safe_union,0.02,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_only,0.05,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_plus_support,0.05,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_plus_cross_method,0.05,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_plus_base_uncertain,0.05,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
safe_union,0.05,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_only,0.10,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_plus_support,0.10,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_plus_cross_method,0.10,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_plus_base_uncertain,0.10,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
safe_union,0.10,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_only,0.20,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_plus_support,0.20,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_plus_cross_method,0.20,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_plus_base_uncertain,0.20,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
safe_union,0.20,openai_gsm8k_12,37,4,100,70,100,70,0,0,0,0,0,0
margin_only,0.00,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_support,0.00,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_cross_method,0.00,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_base_uncertain,0.00,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
safe_union,0.00,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_only,0.02,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_support,0.02,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_cross_method,0.02,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_base_uncertain,0.02,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
safe_union,0.02,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_only,0.05,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_support,0.05,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_cross_method,0.05,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_base_uncertain,0.05,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
safe_union,0.05,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_only,0.10,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_support,0.10,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_cross_method,0.10,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_base_uncertain,0.10,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
safe_union,0.10,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_only,0.20,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_support,0.20,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_cross_method,0.20,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_plus_base_uncertain,0.20,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
safe_union,0.20,openai_gsm8k_13,37,4,10,10,10,18,0,0,0,0,0,0
margin_only,0.00,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_support,0.00,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_cross_method,0.00,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_base_uncertain,0.00,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
safe_union,0.00,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_only,0.02,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_support,0.02,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_cross_method,0.02,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_base_uncertain,0.02,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
safe_union,0.02,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_only,0.05,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_support,0.05,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_cross_method,0.05,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_base_uncertain,0.05,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
safe_union,0.05,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_only,0.10,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_support,0.10,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_cross_method,0.10,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_base_uncertain,0.10,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
safe_union,0.10,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_only,0.20,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_support,0.20,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_cross_method,0.20,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_plus_base_uncertain,0.20,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
safe_union,0.20,openai_gsm8k_14,37,4,38,38,38,38,0,1,1,0,0,0
margin_only,0.00,openai_gsm8k_15,37,4,12,9,9,12,1,1,0,0,1,1
margin_plus_support,0.00,openai_gsm8k_15,37,4,12,9,9,12,1,1,0,0,1,1
margin_plus_cross_method,0.00,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_plus_base_uncertain,0.00,openai_gsm8k_15,37,4,12,9,9,12,1,1,0,0,1,1
safe_union,0.00,openai_gsm8k_15,37,4,12,9,9,12,1,1,0,0,1,1
margin_only,0.02,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_plus_support,0.02,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_plus_cross_method,0.02,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_plus_base_uncertain,0.02,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
safe_union,0.02,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_only,0.05,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_plus_support,0.05,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_plus_cross_method,0.05,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_plus_base_uncertain,0.05,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
safe_union,0.05,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_only,0.10,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_plus_support,0.10,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_plus_cross_method,0.10,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_plus_base_uncertain,0.10,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
safe_union,0.10,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_only,0.20,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_plus_support,0.20,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_plus_cross_method,0.20,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_plus_base_uncertain,0.20,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
safe_union,0.20,openai_gsm8k_15,37,4,12,9,12,12,0,1,1,0,0,0
margin_only,0.00,openai_gsm8k_16,37,4,75,450,450,75,1,1,0,0,1,1
margin_plus_support,0.00,openai_gsm8k_16,37,4,75,450,450,75,1,1,0,0,1,1
margin_plus_cross_method,0.00,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_plus_base_uncertain,0.00,openai_gsm8k_16,37,4,75,450,450,75,1,1,0,0,1,1
safe_union,0.00,openai_gsm8k_16,37,4,75,450,450,75,1,1,0,0,1,1
margin_only,0.02,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_plus_support,0.02,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_plus_cross_method,0.02,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_plus_base_uncertain,0.02,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
safe_union,0.02,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_only,0.05,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_plus_support,0.05,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_plus_cross_method,0.05,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_plus_base_uncertain,0.05,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
safe_union,0.05,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_only,0.10,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_plus_support,0.10,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_plus_cross_method,0.10,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_plus_base_uncertain,0.10,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
safe_union,0.10,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_only,0.20,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_plus_support,0.20,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_plus_cross_method,0.20,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_plus_base_uncertain,0.20,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
safe_union,0.20,openai_gsm8k_16,37,4,75,450,75,75,0,1,1,0,0,0
margin_only,0.00,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_support,0.00,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_cross_method,0.00,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_base_uncertain,0.00,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
safe_union,0.00,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_only,0.02,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_support,0.02,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_cross_method,0.02,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_base_uncertain,0.02,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
safe_union,0.02,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_only,0.05,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_support,0.05,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_cross_method,0.05,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_base_uncertain,0.05,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
safe_union,0.05,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_only,0.10,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_support,0.10,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_cross_method,0.10,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_base_uncertain,0.10,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
safe_union,0.10,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_only,0.20,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_support,0.20,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_cross_method,0.20,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_plus_base_uncertain,0.20,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
safe_union,0.20,openai_gsm8k_17,37,4,10,10,10,10,0,1,1,0,0,0
margin_only,0.00,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_support,0.00,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_cross_method,0.00,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_base_uncertain,0.00,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
safe_union,0.00,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_only,0.02,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_support,0.02,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_cross_method,0.02,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_base_uncertain,0.02,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
safe_union,0.02,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_only,0.05,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_support,0.05,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_cross_method,0.05,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_base_uncertain,0.05,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
safe_union,0.05,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_only,0.10,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_support,0.10,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_cross_method,0.10,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_base_uncertain,0.10,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
safe_union,0.10,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_only,0.20,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_support,0.20,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_cross_method,0.20,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_plus_base_uncertain,0.20,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
safe_union,0.20,openai_gsm8k_18,37,4,16,16,16,16,0,1,1,0,0,0
margin_only,0.00,openai_gsm8k_19,37,4,140000,140000,140000,140000,0,1,1,0,0,0
margin_plus_support,0.00,openai_gsm8k_19,37,4,140000,140000,140000,140000,0,1,1,0,0,0
margin_plus_cross_method,0.00,openai_gsm8k_19,37,4,140000,140000,140000,140000,0,1,1,0,0,0
margin_plus_base_uncertain,0.00,openai_gsm8k_19,37,4,140000,140000,140000,140000,0,1,1,0,0,0
safe_union,0.00,openai_gsm8k_19,37,4,140000,140000,140000,140000,0,1,1,0,0,0
margin_only,0.02,openai_gsm8k_19,37,4,140000,140000,140000,140000,0,1,1,0,0,0
margin_plus_support,0.02,openai_gsm8k_19,37,4,140000,140000,140000,140000,0,1,1,0,0,0
margin_plus_cross_method,0.02,openai_gsm8k_19,37,4,140000,140000,140000,140000,0,1,1,0,0,0
margin_plus_base_uncertain,0.02,openai_gsm8k_19,37,4,140000,140000,140000,140000,0,1,1,0,0,0
safe_union,0.02,openai_gsm8k_19,37,4,140000,140000,140000,140000,0,1,1,0,0,0
margin_only,0.05,openai_gsm8k_19,37,4,140000,140000,140000,140000,0,1,1,0,0,0
margin_plus_support,0.05,openai_gsm8k_19,37,4,140000,140000,140000,140000,0,1,1,0,0,0
margin_plus_cross_method,0.05,openai_gsm8k_19,37,4,140000,140000,140000,140000,0,1,1,0,0,0
