example_id,outcome_bucket,our_exact,external_exact,our_answer,external_answer,our_gold_in_pool,external_gold_in_pool,failure_stage,operation_hints,quantity_bucket,question_length_bucket,our_candidate_diversity,external_tree_available
openai_gsm8k_23,both_correct,1,1,78,,0,,gold_absent_everywhere_detectable,none,qnum_2_3,len_long,0,0
openai_gsm8k_2,both_correct,1,1,450,,0,,gold_absent_everywhere_detectable,none,qnum_4_5,len_long,0,0
openai_gsm8k_17,both_correct,1,1,10,,0,,gold_absent_everywhere_detectable,temporal_change,qnum_2_3,len_long,0,0
openai_gsm8k_12,both_correct,1,1,70,,0,,gold_absent_everywhere_detectable,difference|product,qnum_2_3,len_long,0,0
openai_gsm8k_7,external_only,0,1,70,,0,,gold_absent_everywhere_detectable,total_sum,qnum_0_1,len_long,0,0
openai_gsm8k_16,external_only,0,1,50,,0,,gold_absent_everywhere_detectable,rate_ratio|percent|division_share,qnum_4_5,len_long,0,0
openai_gsm8k_576,external_only,0,1,6,,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_6p,len_long,0,0
openai_gsm8k_2,external_only,0,1,27000,,0,,gold_absent_everywhere_detectable,rate_ratio|percent|product|temporal_change,qnum_4_5,len_long,0,0
openai_gsm8k_19,external_only,0,1,224000,,0,,gold_absent_everywhere_detectable,rate_ratio|total_sum|difference,qnum_4_5,len_long,0,0
openai_gsm8k_16,external_only,0,1,13,,0,,gold_absent_everywhere_detectable,none,qnum_2_3,len_long,0,0
openai_gsm8k_158,external_only,0,1,,,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_4_5,len_long,0,0
openai_gsm8k_1,external_only,0,1,70,,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_6p,len_long,0,0
openai_gsm8k_2,external_only,0,1,21,,0,,gold_absent_everywhere_detectable,none,qnum_2_3,len_long,0,0
openai_gsm8k_14,external_only,0,1,34,,0,,gold_absent_everywhere_detectable,total_sum,qnum_2_3,len_long,0,0
openai_gsm8k_1,external_only,0,1,75,,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_4_5,len_long,0,0
openai_gsm8k_9,external_only,0,1,4,,0,,gold_absent_everywhere_detectable,none,qnum_4_5,len_long,0,0
openai_gsm8k_8,external_only,0,1,8,,0,,gold_absent_everywhere_detectable,total_sum|temporal_change,qnum_2_3,len_long,0,0
openai_gsm8k_7,external_only,0,1,20,,0,,gold_absent_everywhere_detectable,rate_ratio|difference,qnum_4_5,len_long,0,0
openai_gsm8k_6,external_only,0,1,8,,0,,gold_absent_everywhere_detectable,total_sum,qnum_4_5,len_long,0,0
openai_gsm8k_2,external_only,0,1,159,,0,,gold_absent_everywhere_detectable,none,qnum_4_5,len_long,0,0
openai_gsm8k_18,external_only,0,1,600,,0,,gold_absent_everywhere_detectable,temporal_change,qnum_2_3,len_long,0,0
openai_gsm8k_12,external_only,0,1,1200,,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_0_1,len_long,0,0
openai_gsm8k_1,external_only,0,1,2.00,,0,,gold_absent_everywhere_detectable,rate_ratio,qnum_6p,len_long,0,0
openai_gsm8k_9,external_only,0,1,20,,0,,gold_absent_everywhere_detectable,rate_ratio|total_sum,qnum_4_5,len_long,0,0
openai_gsm8k_6,both_correct,1,1,52,,0,,gold_absent_everywhere_detectable,rate_ratio|division_share|temporal_change,qnum_2_3,len_long,0,0
openai_gsm8k_5,external_only,0,1,180,,0,,gold_absent_everywhere_detectable,temporal_change,qnum_4_5,len_long,0,0
openai_gsm8k_3,external_only,0,1,160,,0,,gold_absent_everywhere_detectable,none,qnum_2_3,len_long,0,0
openai_gsm8k_22,both_correct,1,1,40,,0,,gold_absent_everywhere_detectable,none,qnum_6p,len_long,0,0
openai_gsm8k_2,external_only,0,1,159,,0,,gold_absent_everywhere_detectable,rate_ratio|difference,qnum_4_5,len_long,0,0
openai_gsm8k_18,external_only,0,1,80,,0,,gold_absent_everywhere_detectable,total_sum|difference|product,qnum_4_5,len_long,0,0
openai_gsm8k_13,both_correct,1,1,156,,0,,gold_absent_everywhere_detectable,none,qnum_4_5,len_long,0,0
openai_gsm8k_12,external_only,0,1,9,,0,,gold_absent_everywhere_detectable,difference|product,qnum_2_3,len_long,0,0
openai_gsm8k_11,both_correct,1,1,4800,,0,,gold_absent_everywhere_detectable,total_sum|difference|product,qnum_4_5,len_long,0,0
openai_gsm8k_1,external_only,0,1,27,,0,,gold_absent_everywhere_detectable,percent|temporal_change,qnum_2_3,len_long,0,0
openai_gsm8k_9,both_correct,1,1,12,,0,,gold_absent_everywhere_detectable,percent|product,qnum_0_1,len_long,0,0
