case_id,gold_answer,external_l1_prediction,external_l1_correct,baseline_pal_prediction,baseline_pal_correct,integrated_prediction,integrated_correct,integrated_action,cohere_call_made,response_text_path,notes
openai_gsm8k_708,7500,7500,1,7500,1,7500,1,base_method_no_retry,no,,
openai_gsm8k_709,1240,1240,1,1240,1,1240,1,base_method_no_retry,no,,
openai_gsm8k_710,48,48,1,48,1,48,1,base_method_no_retry,no,,
openai_gsm8k_711,63,63,1,63,1,63,1,base_method_no_retry,no,,
openai_gsm8k_712,15,15,1,15,1,15,1,base_method_no_retry,no,,
openai_gsm8k_713,6,6,1,6,1,6,1,base_method_no_retry,no,,
openai_gsm8k_714,157,162,0,157,1,157,1,base_method_no_retry,no,,
openai_gsm8k_715,25,25,1,25,1,25,1,base_method_no_retry,no,,
openai_gsm8k_716,16,16,1,16,1,16,1,base_method_no_retry,no,,
openai_gsm8k_717,1,1,1,1,1,1,1,base_method_no_retry,no,,
openai_gsm8k_718,32,32,1,32,1,32,1,base_method_no_retry,no,,
openai_gsm8k_719,34,34,1,34,1,34,1,base_method_no_retry,no,,
openai_gsm8k_720,106,106,1,106.12080000000002,0,106,1,targeted_retry,yes,responses/openai_gsm8k_720.txt,
openai_gsm8k_721,15,5,0,15,1,15,1,base_method_no_retry,no,,
openai_gsm8k_722,16,16,1,16,1,16,1,base_method_no_retry,no,,
openai_gsm8k_723,2600,2600,1,2600,1,2600,1,base_method_no_retry,no,,
openai_gsm8k_724,93000,93000,1,93000,1,93000,1,base_method_no_retry,no,,
openai_gsm8k_725,95,5700,0,5700,0,5700,0,base_method_no_retry,no,,
openai_gsm8k_726,3,13,0,13,0,13,0,base_method_no_retry,no,,
openai_gsm8k_727,81,81,1,81,1,81,1,base_method_no_retry,no,,
openai_gsm8k_728,15,50,0,15,1,15,1,base_method_no_retry,no,,
openai_gsm8k_729,16,16,1,16,1,16,1,base_method_no_retry,no,,
openai_gsm8k_730,335,335,1,335,1,335,1,base_method_no_retry,no,,
openai_gsm8k_731,30,30,1,30,1,30,1,base_method_no_retry,no,,
openai_gsm8k_732,31,31,1,31,1,31,1,base_method_no_retry,no,,
openai_gsm8k_733,3000,3000,1,3000,1,3000,1,base_method_no_retry,no,,
openai_gsm8k_734,2,2,1,2,1,2,1,base_method_no_retry,no,,
openai_gsm8k_735,10,10,1,10,1,10,1,base_method_no_retry,no,,
openai_gsm8k_736,9,9,1,9,1,9,1,base_method_no_retry,no,,
openai_gsm8k_737,8,8,1,8,1,8,1,base_method_no_retry,no,,
openai_gsm8k_738,2,1,0,2,1,2,1,base_method_no_retry,no,,
openai_gsm8k_739,1875,2250,0,1875,1,1875,1,base_method_no_retry,no,,
openai_gsm8k_740,7,7,1,7,1,7,1,base_method_no_retry,no,,
openai_gsm8k_741,19,26 - 4 - 3 = 19,1,19,1,19,1,base_method_no_retry,no,,
openai_gsm8k_742,1125,1125,1,1125,1,1125,1,base_method_no_retry,no,,
openai_gsm8k_743,10,10,1,10,1,10,1,base_method_no_retry,no,,
openai_gsm8k_744,2,2.00,1,2,1,2,1,base_method_no_retry,no,,
openai_gsm8k_745,225,225,1,225,1,225,1,base_method_no_retry,no,,
openai_gsm8k_746,6,6,1,12,0,12,0,base_method_no_retry,no,,
openai_gsm8k_747,50,50,1,50,1,50,1,base_method_no_retry,no,,
openai_gsm8k_748,83,83,1,83,1,83,1,base_method_no_retry,no,,
openai_gsm8k_749,621,621,1,621,1,621,1,base_method_no_retry,no,,
openai_gsm8k_750,92,92,1,532.4666656177045,0,92,1,targeted_retry,yes,responses/openai_gsm8k_750.txt,
openai_gsm8k_751,50,50,1,50,1,50,1,base_method_no_retry,no,,
openai_gsm8k_752,60,60,1,63,0,63,0,base_method_no_retry,no,,
openai_gsm8k_753,79,79,1,79,1,79,1,base_method_no_retry,no,,
openai_gsm8k_754,75,60,0,75,1,75,1,base_method_no_retry,no,,
openai_gsm8k_755,34,34,1,34,1,34,1,base_method_no_retry,no,,
openai_gsm8k_756,8000,8000,1,8000,1,8000,1,base_method_no_retry,no,,
openai_gsm8k_757,11,11,1,11,1,11,1,base_method_no_retry,no,,
openai_gsm8k_758,98,98,1,1,0,1,0,base_method_no_retry,no,,
openai_gsm8k_759,25,25,1,25,1,25,1,base_method_no_retry,no,,
openai_gsm8k_760,276000,276000,1,276000,1,276000,1,base_method_no_retry,no,,
openai_gsm8k_761,3,3,1,3,1,3,1,base_method_no_retry,no,,
openai_gsm8k_762,575,575,1,575,1,575,1,base_method_no_retry,no,,
openai_gsm8k_763,4,4,1,4,1,4,1,base_method_no_retry,no,,
openai_gsm8k_764,14,14,1,14,1,14,1,base_method_no_retry,no,,
openai_gsm8k_765,80,80,1,-80,0,-80,0,base_method_no_retry,no,,
openai_gsm8k_766,1218,1218,1,1218,1,1218,1,base_method_no_retry,no,,
openai_gsm8k_767,120,120,1,120,1,120,1,base_method_no_retry,no,,
openai_gsm8k_768,25,45,0,25,1,25,1,base_method_no_retry,no,,
openai_gsm8k_769,25,25,1,100,0,100,0,base_method_no_retry,no,,
openai_gsm8k_770,21,21,1,21,1,21,1,base_method_no_retry,no,,
openai_gsm8k_771,3,3,1,3,1,3,1,base_method_no_retry,no,,
