example_id,budget,method,runtime_method,prediction,is_correct,actions,expansions,absent_from_tree,present_not_selected,early_prefix,early_unique_answer_groups,early_repeated_family_expansions,early_repeated_family_expansion_rate,early_maturation_actions
mock_10,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,42,0,4,4,0,0,2,2,1,1.0,0
mock_11,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,74,1,4,4,0,0,2,1,1,1.0,0
mock_12,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,75,1,4,4,0,0,2,1,1,1.0,0
mock_13,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,31,0,4,4,0,0,2,1,0,0.0,0
mock_14,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,59,0,4,4,0,0,2,1,1,1.0,0
mock_15,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,15,1,4,4,0,0,2,1,1,1.0,0
mock_16,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,33,0,4,4,0,0,2,2,1,1.0,0
mock_17,4,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,22,1,4,4,0,0,2,2,1,1.0,0
mock_0,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,85,1,4,4,0,0,2,1,1,1.0,0
mock_1,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,85,1,4,4,0,0,2,1,1,1.0,0
mock_2,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,104,0,4,4,0,0,2,1,1,1.0,0
mock_3,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,44,1,4,4,0,0,2,1,1,1.0,0
mock_4,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,19,1,4,4,0,0,2,2,1,1.0,0
mock_5,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,29,1,4,4,0,0,2,1,1,1.0,0
mock_6,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,17,1,4,4,0,0,2,2,1,1.0,0
mock_7,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,23,1,4,4,0,0,2,2,1,1.0,0
mock_8,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,51,0,4,4,0,0,2,1,1,1.0,0
mock_9,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,78,1,4,4,0,0,2,2,1,1.0,0
mock_10,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,43,1,4,4,0,0,2,1,1,1.0,0
mock_11,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,,0,4,4,0,0,2,1,1,1.0,0
mock_12,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,73,0,4,4,0,0,2,1,0,0.0,0
mock_13,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,29,1,4,4,0,0,2,2,1,1.0,0
mock_14,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,60,1,4,4,0,0,2,1,1,1.0,0
mock_15,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,15,1,4,4,0,0,2,1,1,1.0,0
mock_16,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,32,1,4,4,0,0,2,1,0,0.0,0
mock_17,4,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,22,1,4,4,0,0,2,1,1,1.0,0
mock_0,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,85,1,4,4,0,0,2,2,1,1.0,2
mock_1,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,84,0,4,4,0,0,2,2,1,1.0,2
mock_2,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,100,0,4,4,0,0,2,1,1,1.0,2
mock_3,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,44,1,4,4,0,0,2,2,1,1.0,2
mock_4,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,,0,4,4,0,0,2,1,1,1.0,2
mock_5,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,30,0,4,4,0,0,2,1,1,1.0,2
mock_6,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,17,1,4,4,0,0,2,2,1,1.0,2
mock_7,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,24,0,4,4,0,0,2,1,1,1.0,2
mock_8,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,52,1,4,4,0,0,2,1,1,1.0,2
mock_9,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,81,0,4,4,0,0,2,1,1,1.0,2
mock_10,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,40,0,4,4,0,0,2,1,1,1.0,2
mock_11,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,72,0,4,4,0,0,2,1,1,1.0,2
mock_12,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,74,0,4,4,0,0,2,1,1,1.0,2
mock_13,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,29,1,4,4,0,0,2,1,1,1.0,2
mock_14,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,60,1,4,4,0,0,2,1,1,1.0,2
mock_15,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,15,1,4,4,0,0,2,1,1,1.0,2
mock_16,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,32,1,4,4,0,0,2,2,1,1.0,2
mock_17,4,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,25,0,4,4,0,0,2,1,1,1.0,2
mock_0,4,external_l1_max,external_l1_max,85,1,3,3,0,0,2,0,0,1.0,0
mock_1,4,external_l1_max,external_l1_max,88,0,1,1,0,0,2,0,0,0.0,0
mock_2,4,external_l1_max,external_l1_max,102,0,1,1,0,0,2,0,0,0.0,0
mock_3,4,external_l1_max,external_l1_max,44,1,1,1,0,0,2,0,0,0.0,0
mock_4,4,external_l1_max,external_l1_max,19,1,3,3,0,0,2,0,0,1.0,0
mock_5,4,external_l1_max,external_l1_max,32,0,1,1,0,0,2,0,0,0.0,0
mock_6,4,external_l1_max,external_l1_max,20,0,2,2,0,0,2,0,0,1.0,0
mock_7,4,external_l1_max,external_l1_max,23,1,1,1,0,0,2,0,0,0.0,0
mock_8,4,external_l1_max,external_l1_max,51,0,2,2,0,0,2,0,0,1.0,0
mock_9,4,external_l1_max,external_l1_max,78,1,1,1,0,0,2,0,0,0.0,0
mock_10,4,external_l1_max,external_l1_max,43,1,1,1,0,0,2,0,0,0.0,0
mock_11,4,external_l1_max,external_l1_max,71,0,4,4,0,0,2,0,0,1.0,0
mock_12,4,external_l1_max,external_l1_max,74,0,2,2,0,0,2,0,0,1.0,0
mock_13,4,external_l1_max,external_l1_max,29,1,3,3,0,0,2,0,0,1.0,0
mock_14,4,external_l1_max,external_l1_max,60,1,1,1,0,0,2,0,0,0.0,0
mock_15,4,external_l1_max,external_l1_max,15,1,3,3,0,0,2,0,0,1.0,0
mock_16,4,external_l1_max,external_l1_max,32,1,3,3,0,0,2,0,0,1.0,0
mock_17,4,external_l1_max,external_l1_max,22,1,3,3,0,0,2,0,0,1.0,0
mock_0,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,88,0,2,2,0,0,3,1,0,0.0,0
mock_1,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,83,0,6,4,0,0,3,1,2,1.0,0
mock_2,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,103,1,6,6,0,0,3,2,2,1.0,0
mock_3,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,44,1,6,6,0,0,3,1,1,0.5,0
mock_4,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,19,1,6,6,0,0,3,1,2,1.0,0
mock_5,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,29,1,6,6,0,0,3,1,1,0.5,0
mock_6,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,14,0,6,6,0,0,3,2,2,1.0,0
mock_7,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,25,0,6,5,0,0,3,1,2,1.0,0
mock_8,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,52,1,6,6,0,0,3,2,2,1.0,0
mock_9,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,78,1,6,5,0,0,3,1,2,1.0,0
mock_10,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,43,1,6,6,0,0,3,2,2,1.0,0
mock_11,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,74,1,6,6,0,0,3,1,1,0.5,0
mock_12,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,78,0,6,6,0,0,3,2,2,1.0,0
mock_13,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,29,1,6,4,0,0,3,2,2,1.0,0
mock_14,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,60,1,6,4,0,0,3,2,2,1.0,0
mock_15,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,17,0,6,5,0,0,3,1,1,0.5,0
mock_16,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,32,1,6,6,0,0,3,1,1,0.5,0
mock_17,6,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,22,1,2,2,0,0,3,1,0,0.0,0
mock_0,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,88,0,6,6,0,0,3,1,2,1.0,0
mock_1,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,85,1,4,4,0,0,3,1,1,0.5,0
mock_2,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,103,1,6,6,0,0,3,2,2,1.0,0
mock_3,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,44,1,6,6,0,0,3,1,1,0.5,0
mock_4,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,19,1,6,6,0,0,3,1,2,1.0,0
mock_5,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,29,1,6,6,0,0,3,1,2,1.0,0
mock_6,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,19,0,6,6,0,0,3,1,1,0.5,0
mock_7,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,20,0,6,6,0,0,3,2,2,1.0,0
mock_8,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,52,1,6,6,0,0,3,1,1,0.5,0
mock_9,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,75,0,2,2,0,0,3,1,0,0.0,0
mock_10,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,43,1,6,6,0,0,3,2,2,1.0,0
mock_11,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,74,1,6,6,0,0,3,1,1,0.5,0
mock_12,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,75,1,6,6,0,0,3,1,2,1.0,0
mock_13,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,29,1,6,6,0,0,3,1,2,1.0,0
mock_14,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,60,1,6,6,0,0,3,2,2,1.0,0
mock_15,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,15,1,6,6,0,0,3,1,2,1.0,0
mock_16,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,32,1,6,6,0,0,3,1,1,0.5,0
mock_17,6,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,22,1,6,6,0,0,3,1,1,0.5,0
mock_0,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,85,1,6,6,0,0,3,1,2,1.0,3
mock_1,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,82,0,6,6,0,0,3,1,2,1.0,3
mock_2,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,106,0,6,6,0,0,3,1,2,1.0,3
mock_3,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,44,1,6,5,0,0,3,1,1,0.5,3
mock_4,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,19,1,6,6,0,0,3,1,2,1.0,3
mock_5,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,29,1,4,4,0,0,3,1,1,0.5,3
mock_6,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,14,0,6,6,0,0,3,1,1,0.5,3
mock_7,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,23,1,2,2,0,0,3,1,0,0.0,2
mock_8,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,50,0,6,6,0,0,3,1,1,0.5,3
mock_9,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,78,1,4,4,0,0,3,1,1,0.5,3
mock_10,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,43,1,2,2,0,0,3,1,0,0.0,2
mock_11,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,74,1,6,6,0,0,3,1,1,0.5,3
mock_12,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,75,1,6,6,0,0,3,1,1,0.5,3
mock_13,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,29,1,2,2,0,0,3,1,0,0.0,2
mock_14,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,60,1,2,2,0,0,3,1,0,0.0,2
mock_15,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,15,1,2,2,0,0,3,1,0,0.0,2
mock_16,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,32,1,6,6,0,0,3,1,2,1.0,3
mock_17,6,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,19,0,6,6,0,0,3,1,1,0.5,3
mock_0,6,external_l1_max,external_l1_max,82,0,1,1,0,0,3,0,0,0.0,0
mock_1,6,external_l1_max,external_l1_max,85,1,1,1,0,0,3,0,0,0.0,0
mock_2,6,external_l1_max,external_l1_max,103,1,4,4,0,0,3,0,0,1.0,0
mock_3,6,external_l1_max,external_l1_max,47,0,2,2,0,0,3,0,0,1.0,0
mock_4,6,external_l1_max,external_l1_max,20,0,1,1,0,0,3,0,0,0.0,0
mock_5,6,external_l1_max,external_l1_max,29,1,2,2,0,0,3,0,0,1.0,0
mock_6,6,external_l1_max,external_l1_max,20,0,1,1,0,0,3,0,0,0.0,0
mock_7,6,external_l1_max,external_l1_max,20,0,1,1,0,0,3,0,0,0.0,0
mock_8,6,external_l1_max,external_l1_max,52,1,1,1,0,0,3,0,0,0.0,0
mock_9,6,external_l1_max,external_l1_max,76,0,1,1,0,0,3,0,0,0.0,0
mock_10,6,external_l1_max,external_l1_max,46,0,1,1,0,0,3,0,0,0.0,0
mock_11,6,external_l1_max,external_l1_max,75,0,2,2,0,0,3,0,0,1.0,0
mock_12,6,external_l1_max,external_l1_max,75,1,2,2,0,0,3,0,0,1.0,0
mock_13,6,external_l1_max,external_l1_max,30,0,4,4,0,0,3,0,0,1.0,0
mock_14,6,external_l1_max,external_l1_max,63,0,2,2,0,0,3,0,0,1.0,0
mock_15,6,external_l1_max,external_l1_max,15,1,2,2,0,0,3,0,0,1.0,0
mock_16,6,external_l1_max,external_l1_max,32,1,1,1,0,0,3,0,0,0.0,0
mock_17,6,external_l1_max,external_l1_max,22,1,3,3,0,0,3,0,0,1.0,0
mock_0,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,85,1,5,5,0,0,3,2,2,1.0,0
mock_1,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,85,1,8,8,0,0,3,1,1,0.5,0
mock_2,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,103,1,8,7,0,0,3,1,2,1.0,0
mock_3,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,44,1,8,7,0,0,3,1,2,1.0,0
mock_4,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,19,1,4,4,0,0,3,1,1,0.5,0
mock_5,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,29,1,8,8,0,0,3,2,2,1.0,0
mock_6,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,17,1,8,8,0,0,3,1,1,0.5,0
mock_7,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,23,1,8,8,0,0,3,2,2,1.0,0
mock_8,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,52,1,2,2,0,0,3,1,0,0.0,0
mock_9,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,76,0,7,7,0,0,3,2,2,1.0,0
mock_10,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,43,1,8,8,0,0,3,2,2,1.0,0
mock_11,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,76,0,2,2,0,0,3,1,0,0.0,0
mock_12,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,75,1,8,6,0,0,3,1,2,1.0,0
mock_13,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,29,1,2,2,0,0,3,1,0,0.0,0
mock_14,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,60,1,6,6,0,0,3,2,2,1.0,0
mock_15,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,15,1,4,4,0,0,3,1,1,0.5,0
mock_16,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,29,0,4,4,0,0,3,1,1,0.5,0
mock_17,8,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,24,0,8,7,0,0,3,1,2,1.0,0
mock_0,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,85,1,8,8,0,0,3,1,1,0.5,0
mock_1,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,85,1,8,8,0,0,3,1,1,0.5,0
mock_2,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,103,1,8,8,0,0,3,1,1,0.5,0
mock_3,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,44,1,8,8,0,0,3,1,2,1.0,0
mock_4,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,16,0,8,8,0,0,3,1,2,1.0,0
mock_5,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,29,1,8,4,0,0,3,1,1,0.5,0
mock_6,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,19,0,8,8,0,0,3,1,2,1.0,0
mock_7,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,25,0,2,2,0,0,3,1,0,0.0,0
mock_8,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,52,1,8,7,0,0,3,1,2,1.0,0
mock_9,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,78,1,7,7,0,0,3,2,2,1.0,0
mock_10,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,43,1,7,7,0,0,3,1,1,0.5,0
mock_11,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,74,1,2,2,0,0,3,1,0,0.0,0
mock_12,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,75,1,8,8,0,0,3,2,2,1.0,0
mock_13,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,29,1,8,8,0,0,3,2,2,1.0,0
mock_14,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,62,0,8,8,0,0,3,1,1,0.5,0
